id,rank,year,player,batted_ball_events,launch_angle,sweet_spot_percentage,max_ev,average_ev,fly_ball_line_drive_ev,ground_ball_ev,max_distance,average_distance,average_homerun,hard_hit_95mph+,hard_hit_percentage,hard_hit_swing_percentage,total_barrels,barrels_batted_balls_percentage,barrels_plate_appearance_percentage
171,171,2022,Avisaíl García,232,2.6,27.2,116.8,88.7,94.4,85,443,137,408,104,44.8,14.1,15,6.5,4.3
172,172,2022,Christian Vázquez,296,11.5,36.5,109.5,88,91.2,86.3,419,157,388,105,35.5,14.8,16,5.4,4.2
173,173,2022,Jorge Mateo,296,15.2,36.8,111.3,86.8,91.2,82.7,412,172,394,94,31.8,10.4,19,6.4,4.2
174,174,2022,Ben Gamel,236,12.1,37.7,109.2,89,91.6,86.9,414,168,383,92,39,14.5,15,6.4,4.2
175,175,2022,Brandon Marsh,215,10.3,37.7,109,88.7,92.6,84.4,449,166,411,78,36.3,11,16,7.4,4.2
176,176,2022,Ty France,383,9.9,35,110.4,87.6,91.7,84.9,438,154,397,138,36,14.3,21,5.5,4.1
177,177,2022,Raimel Tapia,265,4.3,29.4,111.7,87.8,91.2,85.4,441,136,393,101,38.1,14.5,14,5.3,4.1
178,178,2022,Elias Díaz,224,10.4,28.6,111.8,88.6,92.9,88,445,152,406,87,38.8,14.1,13,5.8,4.1
179,179,2022,DJ LeMahieu,384,3.3,32.8,110.9,89.4,94.4,85.8,411,143,378,161,42.1,19.7,21,5.5,4
180,180,2022,Jose Trevino,237,13,28.3,109.4,88.1,91.8,85.6,423,159,393,85,35.9,15.8,12,5.1,4
181,181,2022,Jake Cronenworth,392,19.5,31.6,108.6,87.6,91.6,84,423,188,389,134,34.2,14.3,23,5.9,3.9
182,182,2022,Jackie Bradley Jr.,243,7.5,30.5,107.6,88,94,83.7,408,143,390,93,38.3,15.2,13,5.3,3.9
183,183,2022,Andrew Velazquez,203,8.6,31,109.1,88.3,93.4,83.4,402,148,381,70,34.5,10.4,13,6.4,3.9
184,184,2022,Mike Moustakas,180,19.4,36.1,111.7,87.6,90.4,88.3,429,168,404,61,33.9,9.8,11,6.1,3.9
185,185,2022,Andrew Benintendi,390,12.6,39.2,109.8,89.2,92,86.6,433,167,401,151,38.7,16.3,20,5.1,3.8
186,186,2022,Harold Ramírez,271,3.4,32.8,113.7,88.9,91.7,88.1,432,135,362,112,41.3,15.9,13,4.8,3.8
187,187,2022,Matt Vierling,202,11.3,33.2,112.1,91.3,93.4,92.2,432,155,407,99,49,20.2,11,5.4,3.8
188,188,2022,Charlie Blackmon,388,12,36.6,109.5,86.1,90.1,82.5,453,160,409,119,30.7,12.5,19,4.9,3.7
189,189,2022,Yandy Díaz,375,7.5,30.1,114.3,91.9,95.3,91.3,434,151,403,180,48,22.4,18,4.8,3.6
190,190,2022,Jonathan Schoop,329,9.5,29.5,111.6,87.2,92.1,85.1,430,145,395,130,39.5,14.8,16,4.9,3.6
191,191,2022,Maikel Franco,299,11.5,33.1,112.1,87,91,85.9,428,153,409,103,34.4,13.6,14,4.7,3.6
192,192,2022,Luis Rengifo,318,10.6,33.6,109.3,86.9,90.8,85.7,434,149,395,108,34,13.5,14,4.4,3.5
193,193,2022,Bryson Stott,277,14.1,30.3,108.4,88.2,91,87.6,415,156,388,103,37.2,15.5,13,4.7,3.5
194,194,2022,Taylor Walls,253,16.5,31.6,105.7,86.1,91,81.2,406,168,382,72,28.5,10.2,14,5.5,3.5
195,195,2022,Amed Rosario,435,4.8,29.9,110.8,88.4,92.5,86.8,450,135,414,167,38.4,16,19,4.4,3.4
196,196,2022,Jean Segura,224,5.2,27.2,111,89,92.6,88.6,411,128,383,93,41.5,19.1,10,4.5,3.4
197,197,2022,Frank Schwindel,215,10.2,31.6,109.3,88.1,91.2,86.6,436,150,384,76,35.5,12.2,10,4.7,3.4
198,198,2022,Cedric Mullins,418,17.1,29.2,109.4,88.7,91.4,89.3,433,161,393,158,37.8,14.8,19,4.5,3.3
199,199,2022,Thairo Estrada,338,7.3,31.1,109.3,86.3,91.5,82.9,418,137,394,107,31.7,13.6,15,4.4,3.3
200,200,2022,Miguel Cabrera,271,4.7,34.7,111,90,92,88.7,426,138,396,106,39.1,14.6,13,4.8,3.3
201,201,2022,Kyle Farmer,350,12.6,38.9,106.6,85.5,90.3,82.3,431,155,391,119,34.3,13.7,15,4.3,3.2
202,202,2022,Dylan Carlson,304,11.7,35.2,108.7,86.2,91.1,81.2,431,165,401,81,26.6,10.3,14,4.6,3.2
203,203,2022,Mark Canha,301,10.1,30.9,108,88.3,91.5,87,423,150,394,114,37.9,14.8,14,4.7,3.2
204,204,2022,Alek Thomas,281,2.9,28.5,109.9,87.4,92.1,85.2,432,124,394,99,35.2,15.3,12,4.3,3.2
205,205,2022,Leury Garcia,234,6,30.3,109.2,87,90.4,85.1,408,136,383,82,35.2,12.8,10,4.3,3.2
